net,length_um
_09282_,57.225
_11442_,57.22
_03707_,57.2
_09131_,57.2
_06064_,57.18
_02426_,57.16
_03054_,57.16
_07030_,57.16
_08401_,57.14
_13000_,57.14
_02178_,57.1
_13840_,57.1
_12732_,57.08
_03730_,57.06
_03860_,57.06
_01684_,56.96
_04986_,56.96
_07335_,56.96
_10035_,56.96
_01302_,56.945
_05952_,56.94
_10852_,56.94
_07880_,56.92
_07506_,56.9
count_instr\[14\],56.9
_10022_,56.88
_12274_,56.88
_06891_,56.76
_05081_,56.74
_11513_,56.74
_10130_,56.64
_04977_,56.62
_04968_,56.6
_03971_,56.56
_04966_,56.52
_07711_,56.52
net592,56.52
_14397_,56.5
_14126_,56.48
_08377_,56.42
_10084_,56.38
clknet_leaf_143_clk,56.36
_09170_,56.315
_14557_,56.26
_01759_,56.22
_10217_,56.22
_13832_,56.16
reg_pc\[15\],56.16
_09182_,56.1
_07839_,56.08
_03099_,56.06
_10931_,56.06
_04422_,56.04
_08965_,56.04
_04631_,56.02
_12408_,55.975
_10469_,55.96
_10613_,55.94
_02076_,55.92
_02944_,55.9
_03965_,55.9
_09151_,55.84
count_instr\[60\],55.84
_09329_,55.82
_12513_,55.82
genblk1.pcpi_mul.rs2\[0\],55.815
_07733_,55.8
_01780_,55.78
_12754_,55.76
alu_out\[15\],55.76
_11241_,55.75
_11879_,55.74
_11415_,55.72
_07477_,55.7
_07904_,55.68
_03451_,55.66
_09965_,55.655
_13453_,55.64
clknet_leaf_211_clk,55.64
_02659_,55.6
_14571_,55.58
_03329_,55.56
_04931_,55.56
_03477_,55.52
clknet_leaf_128_clk,55.52
_13144_,55.515
_02135_,55.5
_02141_,55.5
_09361_,55.5
_09517_,55.48
_14444_,55.46
_09669_,55.44
net512,55.4
_04072_,55.38
count_cycle\[50\],55.38
_11972_,55.37
_06972_,55.36
_01927_,55.34
_08757_,55.3
_09955_,55.3
_02822_,55.28
_09321_,55.26
_05589_,55.24
clknet_leaf_38_clk,55.24
_03769_,55.22
_08002_,55.2
_04691_,55.18
_10379_,55.18
_12273_,55.18
_12572_,55.18
_10584_,55.1
_11153_,55.1
clknet_leaf_63_clk,55.1
_12609_,55.08
_01616_,55.02
_05231_,54.96
_11502_,54.96
_04080_,54.95
_13874_,54.92
cpuregs\[8\]\[10\],54.86
clknet_leaf_46_clk,54.86
_12849_,54.78
_08655_,54.76
_09403_,54.76
_11015_,54.76
_13307_,54.76
clknet_leaf_125_clk,54.76
_05456_,54.72
_10978_,54.72
net1204,54.72
_02142_,54.71
_08820_,54.7
_10885_,54.7
_14818_,54.685
alu_shr\[29\],54.68
count_instr\[13\],54.66
_04119_,54.64
_09107_,54.64
_04167_,54.6
_10695_,54.54
_11405_,54.54
_04182_,54.52
_12125_,54.52
clknet_leaf_212_clk,54.52
_08807_,54.51
_06402_,54.5
_05104_,54.48
_01815_,54.46
_10465_,54.44
_09971_,54.42
_01793_,54.4
instr_andi,54.38
_09695_,54.34
irq_state\[1\],54.34
_04265_,54.32
_09163_,54.315
_14797_,54.28
_04106_,54.24
_02731_,54.22
_06905_,54.22
clknet_leaf_262_clk,54.22
_05535_,54.18
clknet_leaf_47_clk,54.16
_04448_,54.15
_06861_,54.145
_03334_,54.12
_06042_,54.12
_10534_,54.12
_12635_,54.1
_01779_,54.08
clknet_leaf_199_clk,54.06
_02567_,53.98
_04473_,53.98
_04552_,53.94
instr_sltu,53.94
clknet_leaf_6_clk,53.94
_03506_,53.9
instr_bne,53.9
_10256_,53.88
_02136_,53.86
net200,53.86
_05136_,53.835
_04998_,53.83
_02303_,53.82
_06549_,53.78
_11876_,53.78
_11659_,53.74
net187,53.72
mem_rdata_q\[6\],53.7
count_instr\[35\],53.66
_05563_,53.64
_11894_,53.64
_05232_,53.62
clknet_leaf_83_clk,53.62
_13822_,53.6
_09660_,53.54
_12451_,53.54
_10917_,53.52
_08639_,53.51
_14013_,53.5
_10054_,53.48
_13924_,53.46
_08395_,53.44
_05254_,53.43
_07737_,53.42
_09317_,53.38
_07595_,53.34
_09322_,53.3
_12126_,53.3
_14030_,53.3
_09119_,53.295
_04455_,53.28
_11979_,53.28
_01753_,53.22
_08258_,53.22
_04955_,53.14
_01836_,53.12
_10150_,53.06
_02037_,53.02
_04051_,53.02
_11036_,53.015
_11641_,53
_13923_,53
_10023_,52.98
_10942_,52.96
_03365_,52.88
_05621_,52.88
_08178_,52.88
_07745_,52.86
_04951_,52.84
_05095_,52.84
_05591_,52.81
_13329_,52.8
mem_rdata_q\[27\],52.8
_07748_,52.78
_09389_,52.69
clknet_leaf_97_clk,52.68
_07721_,52.66
_14916_,52.64
_07800_,52.62
_10011_,52.62
_14826_,52.62
_03563_,52.58
_09593_,52.555
_03560_,52.54
_04067_,52.52
_04985_,52.48
_11484_,52.44
_09324_,52.42
_13116_,52.42
alu_shr\[8\],52.42
_02005_,52.38
_07576_,52.36
_09333_,52.36
_11152_,52.36
_09494_,52.32
_14524_,52.3
_05323_,52.28
_08833_,52.26
_14957_,52.26
clknet_leaf_259_clk,52.22
_05249_,52.14
_10770_,52.14
_06040_,52.135
_14722_,52.1
genblk1.pcpi_mul.rs2\[10\],52.1
_07889_,52.09
_06803_,52.08
_07231_,52.04
_09025_,52.04
_02229_,52
_14475_,51.99
_04930_,51.96
_09419_,51.96
_12446_,51.96
clknet_leaf_253_clk,51.96
_09065_,51.94
_07632_,51.92
_10904_,51.92
cpuregs\[9\]\[27\],51.92
_06074_,51.88
_10159_,51.88
_09544_,51.86
_05679_,51.82
_10906_,51.82
_09083_,51.8
_05629_,51.78
_04184_,51.76
_08138_,51.76
_04894_,51.74
_11568_,51.74
_04268_,51.72
_04622_,51.72
_10277_,51.68
_03178_,51.64
_03337_,51.62
_13812_,51.6
_06302_,51.58
_11676_,51.57
_06909_,51.56
_10304_,51.56
_06426_,51.54
_14587_,51.54
_12894_,51.52
_06358_,51.5
_12938_,51.5
_10243_,51.46
_14641_,51.46
_07524_,51.42
clknet_leaf_122_clk,51.42
timer\[26\],51.4
clknet_leaf_261_clk,51.355
_14293_,51.32
_04979_,51.27
_12842_,51.26
_01935_,51.22
_06657_,51.22
_03366_,51.2
_07946_,51.2
clknet_leaf_216_clk,51.18
_10851_,51.12
_13270_,51.12
_14424_,51.1
count_instr\[29\],51.1
_03894_,51.08
_08223_,51.08
_10371_,51.08
_10650_,51.08
_12566_,51.08
_06967_,51.065
_05138_,51.06
mem_rdata_q\[28\],51.04
net1323,51.04
clknet_leaf_250_clk,51.035
_05144_,51.01
_13125_,50.98
_01646_,50.96
_04055_,50.94
_08837_,50.94
net387,50.94
_04298_,50.92
_12596_,50.88
_02428_,50.86
_09148_,50.86
_13975_,50.86
_04103_,50.84
_02096_,50.79
_02216_,50.78
_09022_,50.76
clknet_leaf_20_clk,50.76
_01893_,50.74
_13796_,50.74
_14543_,50.74
_08413_,50.7
_09332_,50.68
_03162_,50.66
_02711_,50.62
_02833_,50.62
_11939_,50.58
net1317,50.58
_02792_,50.56
_08739_,50.5
_02152_,50.44
_10342_,50.44
_02275_,50.42
_03199_,50.42
_00694_,50.405
_03450_,50.38
_07760_,50.36
_03124_,50.34
count_cycle\[55\],50.34
_06504_,50.32
_11663_,50.3
_03743_,50.28
_11116_,50.28
_09294_,50.26
_13147_,50.26
_15078_,50.155
_08747_,50.14
net548,50.12
_05011_,50.08
_08636_,50.06
_11252_,50.06
clknet_leaf_119_clk,50.04
_07183_,50.03
_07907_,50.02
_05164_,50.01
_08379_,50.01
_10169_,49.96
_14020_,49.94
_14378_,49.94
_01966_,49.92
_02886_,49.92
_14595_,49.92
_14135_,49.91
_01974_,49.9
_02453_,49.9
decoded_imm\[3\],49.9
_06375_,49.83
_05172_,49.82
_11902_,49.79
_09178_,49.78
_10178_,49.78
net1324,49.78
_03242_,49.75
_06371_,49.74
clknet_leaf_131_clk,49.74
_02312_,49.72
_03147_,49.72
net1200,49.72
_02380_,49.705
_07753_,49.7
_09983_,49.64
_07185_,49.625
_04723_,49.58
_09396_,49.57
_00841_,49.565
_09104_,49.56
clknet_leaf_223_clk,49.54
_06670_,49.5
_07346_,49.5
_10505_,49.5
_11669_,49.5
clknet_leaf_205_clk,49.5
_14560_,49.44
_12231_,49.415
genblk1.pcpi_mul.rs1\[2\],49.4
clknet_leaf_219_clk,49.4
_02834_,49.38
_11633_,49.38
net594,49.36
genblk1.pcpi_mul.rd\[3\],49.34
_05625_,49.335
_02937_,49.32
_06543_,49.3
_08692_,49.3
_03263_,49.28
_14014_,49.24
_09575_,49.2
_13614_,49.2
clknet_leaf_21_clk,49.16
_10193_,49.12
count_instr\[28\],49.12
_11338_,49.1
_04524_,49.08
_10175_,49.08
_04661_,49.06
_07710_,49.06
_12195_,49.04
_04999_,49.01
_10096_,49
_14204_,48.98
_02555_,48.94
_01500_,48.88
net1202,48.88
_05324_,48.87
_02974_,48.86
_03083_,48.78
_03260_,48.78
_09054_,48.7
_02737_,48.66
_14471_,48.66
_04257_,48.64
_10139_,48.64
clknet_leaf_133_clk,48.63
_14760_,48.62
net846,48.62
_02274_,48.6
_02398_,48.58
_02954_,48.58
_03103_,48.58
_09642_,48.58
_10114_,48.58
_00710_,48.565
cpuregs\[8\]\[30\],48.56
clknet_leaf_221_clk,48.56
_05067_,48.54
_14972_,48.54
clknet_leaf_18_clk,48.5
_14091_,48.475
_06568_,48.44
_10454_,48.44
_10605_,48.44
_12362_,48.44
clknet_leaf_234_clk,48.44
_09387_,48.435
_02239_,48.42
_13252_,48.42
_02429_,48.4
_02228_,48.38
_05125_,48.38
_10918_,48.34
count_instr\[53\],48.33
_08399_,48.3
_11906_,48.3
_11262_,48.29
_10384_,48.28
_13878_,48.28
_09565_,48.26
_12658_,48.26
_04601_,48.22
_13313_,48.22
_14465_,48.22
_01034_,48.18
_04462_,48.16
_10539_,48.16
_04932_,48.145
_11319_,48.12
_13914_,48.12
_12335_,48.11
clknet_leaf_65_clk,48.11
_11411_,48.1
_00602_,48.095
_03548_,48.08
_06495_,48.08
_04954_,48.06
_13995_,48.04
clknet_leaf_166_clk,48.04
net1332,48.02
_10943_,48
_11312_,48
_03454_,47.96
_10355_,47.92
_08763_,47.9
_12686_,47.9
count_cycle\[30\],47.87
_03853_,47.86
_13349_,47.84
_05047_,47.82
_05096_,47.79
_03068_,47.67
_05185_,47.66
_06403_,47.66
_12605_,47.66
clknet_leaf_180_clk,47.6
_14097_,47.58
_05602_,47.56
_08189_,47.56
_10154_,47.56
_14479_,47.55
_08214_,47.54
_14434_,47.515
_08394_,47.48
_10709_,47.46
_03729_,47.44
_12055_,47.44
_14203_,47.44
clknet_leaf_87_clk,47.44
_01548_,47.43
_13077_,47.4
_14639_,47.4
count_instr\[62\],47.38
_10887_,47.36
clknet_leaf_257_clk,47.34
_12474_,47.32
_10406_,47.31
_04909_,47.3
_00612_,47.28
_06406_,47.28
_12543_,47.28
_09803_,47.24
_13450_,47.24
_02761_,47.22
_06849_,47.2
_01748_,47.16
_04465_,47.12
_14101_,47.12
_03046_,47.11
_06431_,47.11
_09391_,47.11
_14369_,47.1
_08388_,47.075
_02595_,47.06
_06293_,47.04
_08358_,47.035
_04594_,47
_07929_,46.98
_09052_,46.98
_12826_,46.96
_14282_,46.955
_07282_,46.95
_11643_,46.94
_04926_,46.92
_12331_,46.86
_03470_,46.84
_09218_,46.82
_05379_,46.81
_09868_,46.8
_14762_,46.76
_01652_,46.74
_06412_,46.71
_11532_,46.7
_01543_,46.68
_02951_,46.68
_05196_,46.68
_03207_,46.64
_05146_,46.62
_06932_,46.6
_10599_,46.6
_09794_,46.595
_10984_,46.58
_12869_,46.58
_12925_,46.58
_15079_,46.58
_07816_,46.55
count_cycle\[29\],46.525
_02342_,46.52
_02541_,46.5
_14778_,46.48
alu_shr\[30\],46.48
_13004_,46.46
_13366_,46.46
clknet_leaf_16_clk,46.46
_08398_,46.44
_10914_,46.44
_14947_,46.44
_02626_,46.42
_04041_,46.4
_03115_,46.39
_08361_,46.37
_12008_,46.36
_02210_,46.32
_04963_,46.3
_07911_,46.3
count_instr\[51\],46.3
_05128_,46.285
_11977_,46.28
_12229_,46.26
count_cycle\[15\],46.26
_01978_,46.24
_10999_,46.22
_11867_,46.18
_12330_,46.18
_08790_,46.14
_11449_,46.1
clknet_leaf_165_clk,46.1
_05001_,46.08
_11504_,46.08
_11940_,46.08
_04773_,46.06
count_cycle\[51\],46.04
_09497_,46.02
_10948_,46.02
_05381_,46
_13345_,45.96
_03140_,45.92
instr_sltiu,45.92
_02008_,45.9
_06859_,45.88
_07728_,45.88
_02573_,45.86
_11984_,45.84
_10888_,45.82
_09543_,45.78
_13028_,45.76
_14554_,45.76
clknet_leaf_152_clk,45.76
_10069_,45.72
_13091_,45.7
_10682_,45.67
_14294_,45.66
_08957_,45.64
_12387_,45.64
decoded_imm_uj\[10\],45.625
_15029_,45.57
_03246_,45.52
clknet_leaf_258_clk,45.52
_09498_,45.48
_02575_,45.38
_11673_,45.34
_08855_,45.28
_13382_,45.28
_03532_,45.26
_12823_,45.26
_07650_,45.24
net105,45.22
_03842_,45.19
_05307_,45.19
_03771_,45.18
_11701_,45.18
cpuregs\[1\]\[31\],45.18
cpuregs\[8\]\[26\],45.18
_07741_,45.16
_03558_,45.1
_00715_,45.085
_09232_,45.08
_12631_,45.08
_13279_,45.06
_04158_,45.03
_01967_,45.02
_03960_,45.02
_04965_,45.02
genblk1.pcpi_mul.rs2\[4\],45.02
_04424_,45
_12325_,45
_02814_,44.98
count_cycle\[57\],44.98
clknet_leaf_3_clk,44.98
_07757_,44.95
_09784_,44.92
_12546_,44.92
_06772_,44.9
_05152_,44.89
_14090_,44.84
count_instr\[52\],44.84
_12487_,44.8
cpuregs\[15\]\[14\],44.8
_14275_,44.78
_02393_,44.74
net459,44.725
_14765_,44.68
_03052_,44.64
net443,44.625
_03452_,44.62
clknet_leaf_53_clk,44.62
_13005_,44.595
_12838_,44.58
_09449_,44.575
_02092_,44.56
_04471_,44.56
_04607_,44.56
_07937_,44.56
_08652_,44.56
_13603_,44.56
_13894_,44.56
_08400_,44.54
_01697_,44.52
clknet_leaf_245_clk,44.52
genblk1.pcpi_mul.rs2\[5\],44.5
reg_out\[26\],44.5
_02686_,44.48
_06650_,44.47
_07497_,44.46
_12525_,44.46
_08061_,44.45
_03226_,44.44
_10717_,44.44
_14476_,44.44
_10860_,44.42
_11076_,44.42
_12640_,44.42
_05016_,44.34
_08920_,44.34
_14110_,44.3
_04714_,44.26
_02074_,44.22
_08943_,44.22
_13157_,44.22
_14933_,44.22
_07835_,44.2
_05045_,44.18
_02289_,44.16
_08385_,44.16
_15048_,44.14
is_compare,44.13
_06999_,44.12
_14350_,44.08
_12087_,44.055
_10015_,44.02
_11672_,43.99
_12998_,43.985
clknet_leaf_39_clk,43.97
_11510_,43.96
_11971_,43.96
_13622_,43.94
_04384_,43.92
_11270_,43.91
_14398_,43.9
_14448_,43.9
_14233_,43.88
_14784_,43.88
clknet_leaf_95_clk,43.88
_05671_,43.86
net482,43.82
_05041_,43.76
_01971_,43.72
_07633_,43.7
clknet_leaf_156_clk,43.68
_02105_,43.65
_02568_,43.63
_01730_,43.62
_04776_,43.62
_13999_,43.62
_12545_,43.61
_04526_,43.6
_12639_,43.6
count_cycle\[58\],43.6
_05962_,43.58
count_instr\[7\],43.56
_12313_,43.54
_12660_,43.5
_14901_,43.5
_08149_,43.46
_12785_,43.46
count_instr\[44\],43.46
_11962_,43.42
instr_setq,43.42
clknet_leaf_151_clk,43.42
instr_slt,43.415
_02712_,43.37
_11490_,43.36
_05221_,43.32
_03624_,43.28
_13301_,43.275
_11917_,43.26
instr_add,43.245
_05080_,43.24
_02496_,43.22
_13815_,43.22
_11406_,43.21
_05174_,43.2
genblk1.pcpi_mul.rd\[33\],43.2
_02441_,43.18
_12856_,43.18
_13214_,43.18
_11958_,43.16
_12758_,43.16
cpu_state\[5\],43.16
clknet_leaf_260_clk,43.16
_04264_,43.12
_02929_,43.11
_09503_,43.08
_14598_,43.08
_05014_,43.07
_12663_,43.04
is_sltiu_bltu_sltu,43.04
_09147_,43.02
_14825_,43.02
_05615_,43
_05672_,42.98
_09328_,42.96
_14518_,42.92
_01870_,42.9
_04987_,42.9
_05165_,42.86
_07058_,42.86
_07909_,42.84
_05375_,42.83
_02582_,42.8
_04074_,42.8
count_instr\[30\],42.8
_04993_,42.76
_02478_,42.74
_06664_,42.72
_08132_,42.7
_15030_,42.7
_02464_,42.65
_02421_,42.64
_11506_,42.64
_14309_,42.64
_14443_,42.64
irq_pending\[2\],42.62
_01936_,42.6
_02444_,42.6
_12505_,42.6
_07616_,42.58
_08200_,42.58
_12551_,42.58
_14379_,42.58
_04174_,42.56
_07905_,42.54
_08147_,42.54
instr_sb,42.54
instr_lw,42.52
_09988_,42.49
decoded_imm\[1\],42.48
_10208_,42.47
_07342_,42.45
_03191_,42.44
_08103_,42.44
_05008_,42.42
_14956_,42.42
instr_sw,42.4
timer\[25\],42.4
_02420_,42.38
_04840_,42.38
_10496_,42.38
_14185_,42.38
clknet_leaf_99_clk,42.38
_11704_,42.36
_03004_,42.34
net1294,42.34
_09467_,42.3
_09536_,42.3
_09034_,42.28
reg_pc\[9\],42.28
_10737_,42.26
_11397_,42.26
count_instr\[43\],42.26
_11071_,42.22
is_alu_reg_imm,42.22
_04762_,42.2
_04393_,42.18
_14770_,42.16
_04852_,42.12
_14599_,42.12
_00714_,42.105
_12558_,42.1
_03785_,42.08
_14879_,42.08
clknet_leaf_191_clk,42.08
net1084,42.08
net1282,42.06
_10899_,42.04
_14420_,42.04
_05186_,42.03
_10360_,42.02
_11098_,42.02
_09950_,41.98
_04099_,41.96
_04253_,41.96
_12388_,41.96
count_instr\[27\],41.94
_11817_,41.92
count_instr\[4\],41.875
_04032_,41.82
_04948_,41.82
_09015_,41.82
count_cycle\[53\],41.78
_11800_,41.72
_11478_,41.66
cpuregs\[15\]\[21\],41.66
cpuregs\[9\]\[25\],41.62
_03291_,41.6
count_cycle\[24\],41.6
_02480_,41.59
_02164_,41.58
_04949_,41.58
_13280_,41.58
_07268_,41.56
_07598_,41.56
_09401_,41.52
_14025_,41.49
_05252_,41.46
cpuregs\[15\]\[18\],41.455
_04278_,41.44
_08633_,41.44
_12991_,41.44
_03125_,41.42
_02223_,41.4
_03891_,41.4
_10040_,41.38
_10343_,41.38
count_cycle\[56\],41.38
_05118_,41.37
_10779_,41.37
_09743_,41.31
count_cycle\[1\],41.285
count_cycle\[39\],41.28
_03489_,41.26
_13556_,41.25
_13060_,41.24
_02702_,41.22
_07842_,41.22
count_instr\[32\],41.22
_05086_,41.16
_07776_,41.16
_08116_,41.16
_09093_,41.12
_13589_,41.09
_05214_,41.08
cpuregs\[4\]\[31\],41.08
_04973_,41.07
_08656_,41.06
_09495_,41.06
_01097_,41.045
_03851_,41.04
_05129_,41.04
_07906_,41.04
_15026_,41.04
_14630_,41.02
_09522_,41
clknet_leaf_120_clk,41
_10765_,40.99
_04430_,40.98
_01764_,40.96
_14450_,40.96
_04374_,40.94
_03063_,40.92
_05083_,40.92
_08703_,40.9
_10356_,40.9
_01868_,40.86
count_cycle\[60\],40.84
_02094_,40.8
_13251_,40.8
_10929_,40.78
_12854_,40.76
_01589_,40.74
_07689_,40.74
_14372_,40.74
_08077_,40.7
_02958_,40.68
_10432_,40.68
_13666_,40.68
_02167_,40.66
_07355_,40.66
_14677_,40.66
count_instr\[34\],40.64
_13581_,40.62
_05139_,40.605
_06621_,40.6
_09481_,40.6
net1326,40.6
_11918_,40.59
_03184_,40.58
_07518_,40.58
_13613_,40.58
_10979_,40.56
_01671_,40.54
_07055_,40.54
_01639_,40.535
_09549_,40.515
_04634_,40.5
_11762_,40.5
_02556_,40.48
_02932_,40.48
_14510_,40.45
_01990_,40.44
_04629_,40.44
_06734_,40.42
_07930_,40.4
_08825_,40.38
clknet_leaf_76_clk,40.38
genblk1.pcpi_mul.rs1\[10\],40.36
_13535_,40.34
_06522_,40.3
cpuregs\[4\]\[11\],40.3
_13117_,40.28
_12244_,40.26
_06665_,40.255
_01970_,40.24
_04906_,40.24
_08403_,40.22
reg_pc\[8\],40.22
_09424_,40.2
_12791_,40.2
_12323_,40.18
_04152_,40.17
_09400_,40.16
_11836_,40.16
_05275_,40.15
_06529_,40.12
_00596_,40.1
_03763_,40.1
_10427_,40.08
_14184_,40.08
_13289_,40.06
_03267_,40.04
_04595_,40.04
_12379_,40.04
clknet_leaf_1_clk,40.02
_09945_,40.005
_10252_,39.98
_02035_,39.96
_05250_,39.96
_09090_,39.96
_11647_,39.96
_04946_,39.93
_05158_,39.83
_01816_,39.82
_08380_,39.82
_02294_,39.77
_07812_,39.76
_07836_,39.76
_09592_,39.755
_08181_,39.75
_14391_,39.73
_01842_,39.72
_11767_,39.72
_09140_,39.69
_14922_,39.69
_01951_,39.64
_14976_,39.64
cpuregs\[15\]\[13\],39.63
_12488_,39.6
_03277_,39.57
_11391_,39.56
_13662_,39.56
_14875_,39.55
_05400_,39.52
cpuregs\[9\]\[28\],39.5
_09992_,39.495
_07642_,39.48
_14116_,39.48
_01205_,39.465
_05043_,39.44
_02117_,39.4
_14390_,39.38
_02243_,39.35
_04064_,39.34
_07490_,39.33
_03955_,39.32
_05003_,39.32
_01981_,39.24
_01798_,39.22
_11282_,39.22
_13408_,39.21
_01564_,39.2
_12636_,39.2
clknet_leaf_45_clk,39.2
_10448_,39.185
_07523_,39.175
_09500_,39.16
_10089_,39.16
_14136_,39.16
_03762_,39.14
_03079_,39.1
_07690_,39.1
_06850_,39.08
_02608_,39.06
_08062_,39.06
_04982_,39.04
_11326_,39.04
_14748_,39.04
_04086_,39
_11124_,39
_05094_,38.98
net558,38.98
_00593_,38.945
_11424_,38.92
_08366_,38.875
_02145_,38.87
_09854_,38.86
_04562_,38.84
_08661_,38.84
_04509_,38.8
_01839_,38.79
net1362,38.78
_04614_,38.77
_13793_,38.77
_04088_,38.75
_04756_,38.74
_10351_,38.74
clknet_leaf_11_clk,38.74
_02438_,38.72
_07844_,38.72
_03951_,38.7
_02588_,38.69
_04753_,38.68
_14315_,38.68
_15017_,38.64
_02299_,38.62
_05000_,38.6
_06984_,38.6
_01747_,38.575
_01933_,38.56
_08844_,38.56
_02628_,38.55
_02065_,38.54
_12926_,38.5
_11628_,38.46
_12937_,38.46
_12651_,38.45
_04500_,38.44
_02272_,38.4
_12550_,38.36
_09030_,38.34
_12242_,38.34
count_cycle\[23\],38.34
net1286,38.34
_03109_,38.32
_14031_,38.3
count_cycle\[26\],38.295
_03248_,38.26
_06996_,38.24
_09778_,38.24
_12936_,38.24
net1338,38.2
_01844_,38.16
_14910_,38.14
_03760_,38.12
_06693_,38.12
_05367_,38.11
_07343_,38.1
_05215_,38.08
_01931_,38.06
_03782_,38.06
_14220_,38.06
_02537_,38.02
_03197_,38
_06918_,38
_14075_,38
_03084_,37.98
_07299_,37.98
_11144_,37.98
_02687_,37.94
_03230_,37.94
_03893_,37.94
genblk1.pcpi_mul.rs1\[9\],37.94
genblk1.pcpi_mul.rd\[2\],37.92
_13153_,37.905
_12432_,37.9
_12721_,37.9
_14000_,37.86
net1291,37.86
_12532_,37.85
_00042_,37.82
_03360_,37.82
_09964_,37.8
_02041_,37.78
_09209_,37.78
_12276_,37.78
_02767_,37.76
_08646_,37.76
_12499_,37.76
count_cycle\[22\],37.76
genblk1.pcpi_mul.rs1\[6\],37.76
clknet_leaf_12_clk,37.76
_03027_,37.72
_08726_,37.72
_07091_,37.68
net604,37.68
_13123_,37.64
_02224_,37.62
_11455_,37.6
_13618_,37.6
instr_rdcycle,37.6
_14856_,37.58
_02460_,37.56
_07384_,37.56
_12653_,37.56
cpuregs\[8\]\[31\],37.56
_08397_,37.54
_14699_,37.54
_07855_,37.52
count_instr\[63\],37.52
_09171_,37.48
_13518_,37.46
count_cycle\[54\],37.46
_08663_,37.445
_06885_,37.44
_13203_,37.42
_07727_,37.375
_03285_,37.36
_14562_,37.36
clknet_leaf_225_clk,37.36
_12153_,37.34
_13336_,37.34
_02469_,37.32
_06907_,37.32
net230,37.32
_02382_,37.31
cpuregs\[15\]\[19\],37.31
_14252_,37.3
_09583_,37.28
_02922_,37.26
net560,37.26
_05036_,37.24
_06372_,37.24
_10347_,37.24
_10868_,37.24
clknet_leaf_98_clk,37.24
_13049_,37.235
_01965_,37.22
_06432_,37.22
_04737_,37.2
_13449_,37.18
_13509_,37.18
clknet_leaf_49_clk,37.18
_13312_,37.16
_07319_,37.14
_11617_,37.14
_03204_,37.12
_12989_,37.12
_06667_,37.115
_04274_,37.1
count_cycle\[21\],37.1
clknet_leaf_232_clk,37.06
_03767_,37.055
_08336_,37.04
_01921_,37.02
_04615_,37.02
decoded_rs1\[4\],37.02
_13573_,37
count_cycle\[37\],36.99
cpuregs\[15\]\[12\],36.92
_02841_,36.9
_03757_,36.9
cpuregs\[8\]\[7\],36.9
cpuregs\[9\]\[30\],36.9
_00052_,36.88
_05217_,36.86
_06392_,36.86
cpuregs\[3\]\[0\],36.86
_12280_,36.84
_13661_,36.84
is_lui_auipc_jal,36.8
_09562_,36.78
_13290_,36.78
_02763_,36.76
_11858_,36.76
_07363_,36.75
_01755_,36.74
_13023_,36.74
_01809_,36.72
_11580_,36.72
_07823_,36.7
_13515_,36.7
_03309_,36.68
_01999_,36.66
_07306_,36.64
_09459_,36.64
_10225_,36.64
_01615_,36.6
_13903_,36.56
_14847_,36.56
_15013_,36.56
_05030_,36.54
_09407_,36.54
_00741_,36.52
_11936_,36.52
_14675_,36.52
_06939_,36.48
_14105_,36.48
_11347_,36.46
_13770_,36.46
_03089_,36.44
_14937_,36.44
_03742_,36.42
_05132_,36.4
_08381_,36.4
_14411_,36.38
_13602_,36.36
_03570_,36.32
_12778_,36.3
mem_state\[1\],36.28
mem_rdata_q\[13\],36.24
_01754_,36.235
_03976_,36.22
_07668_,36.2
_12864_,36.2
_13927_,36.2
_04037_,36.18
_05251_,36.18
_06934_,36.18
_06935_,36.18
_14551_,36.18
_12449_,36.16
_02313_,36.14
_02587_,36.14
_09102_,36.14
_08796_,36.105
_06989_,36.1
_10920_,36.1
_11594_,36.1
_13078_,36.1
_13517_,36.1
cpuregs\[13\]\[9\],36.1
_02884_,36.08
mem_state\[0\],36.08
_03990_,36.06
_09415_,36.02
_10474_,36
_11738_,36
_02302_,35.98
_10431_,35.96
cpuregs\[15\]\[20\],35.96
genblk1.pcpi_mul.rd\[34\],35.96
_02172_,35.94
_12079_,35.94
_13644_,35.92
_03849_,35.91
_14325_,35.91
_12154_,35.88
mem_rdata_q\[12\],35.86
_09385_,35.855
count_cycle\[59\],35.84
_03468_,35.82
_03803_,35.82
_09649_,35.82
_12392_,35.82
_04565_,35.8
_05123_,35.8
_08670_,35.8
_11463_,35.78
_14650_,35.78
_02807_,35.74
_11898_,35.74
net202,35.72
_05673_,35.7
irq_mask\[0\],35.7
_08716_,35.68
_14167_,35.68
_08649_,35.66
_14164_,35.64
_09728_,35.62
_01801_,35.6
_04389_,35.6
_13148_,35.6
_03592_,35.58
_01774_,35.5
cpuregs\[15\]\[1\],35.5
_05022_,35.48
_14986_,35.48
_12797_,35.46
_01663_,35.43
_02012_,35.42
_12516_,35.4
_13774_,35.4
_13922_,35.38
_06698_,35.36
_12157_,35.36
_15032_,35.36
_12883_,35.32
_14133_,35.3
clknet_leaf_5_clk,35.3
_14177_,35.28
_03656_,35.275
_07713_,35.26
cpuregs\[14\]\[18\],35.26
_10233_,35.24
_11724_,35.24
_07184_,35.22
_12081_,35.19
is_beq_bne_blt_bge_bltu_bgeu,35.18
_06811_,35.16
_10501_,35.16
_13533_,35.16
count_cycle\[13\],35.16
_09027_,35.14
_11994_,35.03
