net,length_um
_09735_,431.34
net263,431.31
_02253_,430.575
_12159_,430.535
net186,430.095
net323,430.08
_12456_,430.04
_10646_,429.93
net366,428.89
_09108_,427.59
net314,427.12
_13176_,426.8
_10684_,426.26
_10754_,425.66
_06078_,425.6
_14925_,425.25
mem_rdata_q\[23\],425.06
net236,424.92
_11345_,424.765
net197,424.72
_10697_,424.66
_12255_,424.48
_11679_,424.28
_09686_,424
_05403_,423.81
_11700_,423.72
_12968_,423.3
net288,423.19
net368,422.86
genblk1.pcpi_mul.rd\[61\],422.66
_05966_,421.53
net156,421.24
net130,420.25
_10780_,420.19
_11761_,419.865
net60,419.63
_11399_,419.55
_10807_,419.16
_13245_,418.59
_08085_,418.52
_14714_,418.35
_08421_,418.125
_12594_,417.73
_11284_,417.4
_14941_,416.205
_09558_,415.85
net287,415.4
_08667_,415.245
_11041_,414.835
net33,414.45
_11489_,413.97
_14291_,413.38
_06117_,412.55
net369,412.45
_08496_,412.43
_09006_,410.93
_11577_,410.76
_12697_,410.74
_08626_,410.235
net171,409.82
_11926_,409.17
net24,409.17
_09677_,408.96
_08230_,408.135
_02376_,408.12
net28,408.09
_09978_,407.56
net283,407.4
_11330_,407.15
_06213_,407
_10826_,406.94
_05244_,406.9
_11269_,406.49
_03375_,406.33
_09230_,405.78
_12800_,405.5
_09226_,404.58
_09172_,404.34
_09691_,404.3
_11630_,404.26
_06368_,404.2
_13906_,403.255
_09275_,403.095
_12901_,403.095
_08940_,402.94
net151,402.76
irq_pending\[11\],402.68
net367,402.41
_15008_,402.035
_09060_,401.73
_08154_,401.19
_08910_,401.02
_11770_,400.33
instr_rdcycleh,400.105
_05914_,399.62
_10659_,399.175
_11722_,398.295
_06252_,397.91
net311,397.32
_09378_,397.255
_09070_,396.84
net222,396.64
net116,396.54
_12460_,396.3
_10706_,396.245
_09340_,395.7
_13429_,395.605
_06007_,395.59
net125,395.36
net1253,394.22
net204,393.6
_05552_,393.4
_12117_,393.25
_11361_,393.245
_13398_,393.16
_13355_,392.89
_05371_,392.4
_08868_,391.78
_09371_,391.29
_09037_,391.19
net224,391.17
_11281_,391.08
_14590_,391.07
net123,390.59
genblk1.pcpi_mul.rd\[48\],390.58
_11044_,390.52
net274,389.57
net160,388.49
genblk1.pcpi_mul.rd\[60\],388.3
_14480_,387.97
_13736_,387.78
